CustomerID,Lookalikes
C0001,"[('C0152', 0.9992287315057217), ('C0174', 0.9980419605334541), ('C0011', 0.9963622147816388)]"
C0002,"[('C0134', 0.9947571543341317), ('C0007', 0.9929795154496197), ('C0159', 0.992738479637962)]"
C0003,"[('C0031', 0.998471029972362), ('C0076', 0.9943179587408447), ('C0006', 0.9942735472304255)]"
C0004,"[('C0108', 0.9973837694730558), ('C0099', 0.995915053857329), ('C0155', 0.9957870429039106)]"
C0005,"[('C0159', 0.9999857771410672), ('C0007', 0.9989790256219125), ('C0002', 0.9924337889269538)]"
C0006,"[('C0003', 0.9942735472304255), ('C0031', 0.9868622040025743), ('C0076', 0.9856195776904833)]"
C0007,"[('C0159', 0.9991853163516102), ('C0005', 0.9989790256219125), ('C0002', 0.9929795154496197)]"
C0008,"[('C0098', 0.9840332739839319), ('C0047', 0.9823728951162646), ('C0024', 0.9821540565897151)]"
C0009,"[('C0197', 0.9922974204398337), ('C0061', 0.9901093096154499), ('C0132', 0.9843470505468875)]"
C0010,"[('C0199', 0.9998202843853576), ('C0197', 0.9930828804691882), ('C0061', 0.9930164649644159)]"
C0011,"[('C0107', 0.9995170218363781), ('C0174', 0.9984256592286543), ('C0001', 0.9963622147816388)]"
C0012,"[('C0013', 0.9964683916875595), ('C0195', 0.9957810216572074), ('C0087', 0.993827710339824)]"
C0013,"[('C0087', 0.9992710978943842), ('C0012', 0.9964683916875595), ('C0126', 0.9926102684399479)]"
C0014,"[('C0063', 0.9783823165264829), ('C0089', 0.9677468659644154), ('C0009', 0.8940512848792757)]"
C0015,"[('C0050', 0.9761141500119419), ('C0042', 0.9753288406020207), ('C0144', 0.965886777003675)]"
C0016,"[('C0183', 0.9999188593951389), ('C0030', 0.9961801018758107), ('C0034', 0.9928679853730231)]"
C0017,"[('C0051', 0.995913267496499), ('C0041', 0.9943115212629021), ('C0075', 0.9935296732327381)]"
C0018,"[('C0026', 0.9874558077228172), ('C0035', 0.9856067242474547), ('C0183', 0.9854493849251658)]"
C0019,"[('C0037', 0.985858950690474), ('C0010', 0.9803892855539929), ('C0199', 0.9802215345385031)]"
C0020,"[('C0033', 0.9961261227355961), ('C0058', 0.9917808744873834), ('C0144', 0.9349371647551862)]"
